## AdaRank
## Iteration = 200
## Train with enqueue: Yes
## Tolerance = 0.002
## Max consecutive selection count = 5
124:0.1958761210609341 112:0.19082352699567282 124:0.1866181760260526 112:0.18471101681544844 112:0.18169004996402877 112:0.17850794062053965 112:0.1753437150174828 109:0.1728328093865379 109:0.16996129947301014 112:0.16720596935464152 117:0.1662367246819088 117:0.16391721182752214 64:0.16233206514190648 135:0.1919431756866904 134:0.2416743141931105 134:0.23028966943892745 134:0.21995350553236415 134:0.21070895120246846 134:0.20246623391159577 134:0.1950482963669216 134:0.1883763231183845 134:0.18234905109534322 134:0.17686397034229814 134:0.1718558222220739 134:0.16725620330468563 134:0.1630154444726905 134:0.15908630274111518 134:0.1554370966173776 134:0.15202993948546473 134:0.1488454726661898 134:0.14585928273307125 134:0.14302930749825585 134:0.1403625293925445 134:0.13785084928355973 134:0.13547989258031715 134:0.13323405692799709 134:0.13109582341277162 134:0.1290574555246995 134:0.12711526715194285 134:0.1252606406228067 134:0.12348839768047253 113:0.12218245939498627 113:0.12136532313316585 113:0.12054819814301262 113:0.11970956839818352 113:0.11885173334891959 113:0.11798114436166456 113:0.11711127194067633 113:0.11622424219917293 113:0.11534457874416552 113:0.11446470200789276 113:0.11359222891828143 113:0.11271500786980411 113:0.1118467854921791 113:0.11098601962004843 113:0.11013697141872338 113:0.10930092011468917 113:0.10846695850366139 113:0.10764718554078766 113:0.10683500629665829 113:0.10603495902219107 113:0.10524973717660308 113:0.10447717181514733 113:0.10371254741898522 113:0.10295966318080643 113:0.1022185517346772 113:0.10148670690334048 113:0.10076585790678912 113:0.1000560947343145 113:0.09935745963843344 110:0.09867504671690724 110:0.09804823716257453 110:0.09742597157904392 110:0.09681020084632463 110:0.0962017500878631 110:0.09560141460366026 110:0.0950087244179704 110:0.09442270901736236 110:0.09384207211645428 110:0.09326629530863209 110:0.09269867572050833
[+] AdaRank's Parameters:
No. of rounds: 200
Train with 'enequeue': Yes
Tolerance: 0.002
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K-2/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | ERR@10-T  | ERR@10-V  | Status    | 
--------------------------------------------------------
42      | 134      | 0.2809    | 0.288     | OK        | 
43      | 134      | 0.2816    | 0.2885    | OK        | 
44      | 134      | 0.2819    | 0.2892    | OK        | 
45      | 134      | 0.2821    | 0.2897    | OK        | 
46      | 134      | 0.2822    | 0.2899    | OK        | 
47      | 134      | 0.2824    | 0.2903    | OK        | 
48      | 134      | 0.2827    | 0.2905    | OK        | 
49      | 134      | 0.283     | 0.2905    | OK        | 
50      | 134      | 0.2832    | 0.291     | OK        | 
51      | 134      | 0.2833    | 0.2911    | OK        | 
52      | 134      | 0.2835    | 0.2912    | OK        | 
53      | 134      | 0.2837    | 0.2915    | OK        | 
54      | 113      | 0.2848    | 0.2927    | OK        | 
55      | 113      | 0.2854    | 0.2936    | OK        | 
56      | 113      | 0.2861    | 0.2946    | OK        | 
57      | 113      | 0.2868    | 0.2957    | OK        | 
58      | 113      | 0.2874    | 0.296     | OK        | 
59      | 113      | 0.2878    | 0.297     | OK        | 
60      | 113      | 0.2882    | 0.2968    | OK        | 
61      | 113      | 0.2884    | 0.2967    | OK        | 
62      | 113      | 0.2887    | 0.2966    | OK        | 
63      | 113      | 0.289     | 0.2971    | OK        | 
64      | 113      | 0.2895    | 0.2974    | OK        | 
65      | 113      | 0.2897    | 0.2975    | OK        | 
66      | 113      | 0.2901    | 0.2977    | OK        | 
67      | 113      | 0.29      | 0.2978    | OK        | 
68      | 113      | 0.2902    | 0.2979    | OK        | 
69      | 113      | 0.2905    | 0.2981    | OK        | 
70      | 113      | 0.2906    | 0.2979    | OK        | 
71      | 113      | 0.2908    | 0.2984    | OK        | 
72      | 113      | 0.2909    | 0.2983    | OK        | 
73      | 113      | 0.2911    | 0.2984    | OK        | 
74      | 113      | 0.2912    | 0.2986    | OK        | 
75      | 113      | 0.2913    | 0.2986    | OK        | 
76      | 113      | 0.2915    | 0.2986    | OK        | 
77      | 113      | 0.2917    | 0.2989    | OK        | 
78      | 113      | 0.2919    | 0.299     | OK        | 
79      | 113      | 0.292     | 0.2988    | OK        | 
80      | 113      | 0.2921    | 0.2989    | OK        | 
81      | 113      | 0.2921    | 0.2986    | OK        | 
82      | 113      | 0.2921    | 0.2987    | OK        | 
83      | 110      | 0.2927    | 0.2991    | OK        | 
84      | 110      | 0.293     | 0.2991    | OK        | 
85      | 110      | 0.2933    | 0.2995    | OK        | 
86      | 110      | 0.2934    | 0.2996    | OK        | 
87      | 110      | 0.2936    | 0.3       | OK        | 
88      | 110      | 0.2935    | 0.3001    | OK        | 
89      | 110      | 0.2935    | 0.3003    | OK        | 
90      | 110      | 0.2936    | 0.3003    | OK        | 
91      | 110      | 0.2938    | 0.3002    | OK        | 
92      | 110      | 0.2938    | 0.3002    | OK        | 
93      | 110      | 0.294     | 0.3004    | OK        | 
94      | 110      | 0.2942    | 0.3002    | OK        | 
95      | 110      | 0.2942    | 0.3002    | OK        | 
96      | 110      | 0.2941    | 0.3       | OK        | 
97      | 110      | 0.2942    | 0.3001    | OK        | 
98      | 1        | 0.2942    | 0.3001    | OK        | 
99      | 1        | 0.1419    | 0.1425    | DAMN      | 
--------------------------------------------------------
Finished sucessfully.
ERR@10 on training data: 0.294
ERR@10 on validation data: 0.3004
---------------------------------
ERR@10 on test data: 0.2916

