## AdaRank
## Iteration = 200
## Train with enqueue: Yes
## Tolerance = 2.0E-5
## Max consecutive selection count = 5
110:0.2915618381131644 123:0.2828805115645771 123:0.27288768169957595 109:0.2684292392688204 64:0.26240109907473586 64:0.2558406150109273 64:0.24965735747794104 135:0.244421912632384 64:0.23983637478882355 134:0.3000359442571954 134:0.2916332306447639 134:0.2832409789356516 134:0.27504666467130634 134:0.267137185828493 134:0.25955053535427774 134:0.2523108645536584 134:0.24542293299430243 134:0.23886606950119238 134:0.23263572788541448 134:0.2266932093955241 134:0.2210446709298147 134:0.21568088565852048 134:0.21058778264309952 134:0.20574320126952783 134:0.20113436463769876 134:0.19674887939785385 134:0.19256588893784565 134:0.1885786105268857 134:0.18477697724861492 134:0.18114953300940825 134:0.17768696387330105 134:0.17437871645720365 134:0.17121877722747258 134:0.1681962468256147 134:0.16530379786514304 134:0.16253346613948258 134:0.15987604218491488 134:0.15732826756675408 134:0.15488322319651812 134:0.15253475257354587 134:0.1502791528407814 134:0.14810981931943012 134:0.14602047599206033 134:0.14400821028471042 134:0.1420675169966859 112:0.14058637842253172 112:0.13919994788701318
No. of rounds: 200
Train with 'enequeue': Yes
Tolerance: 2.0E-5
Max Sel. Count: 5

Reading feature file [MSLR-WEB10K-2/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K-2/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
---------------------------
Training starts...
--------------------------------------------------------
#iter   | Sel. F.  | ERR@10-T  | ERR@10-V  | Status    | 
--------------------------------------------------------
28      | 134      | 0.2724    | 0.2794    | OK        | 
29      | 134      | 0.2736    | 0.281     | OK        | 
30      | 134      | 0.2743    | 0.2823    | OK        | 
31      | 134      | 0.2751    | 0.2828    | OK        | 
32      | 134      | 0.2758    | 0.2834    | OK        | 
33      | 134      | 0.2765    | 0.2836    | OK        | 
34      | 134      | 0.2772    | 0.2836    | OK        | 
35      | 134      | 0.2776    | 0.2841    | OK        | 
36      | 134      | 0.2779    | 0.2847    | OK        | 
37      | 134      | 0.2783    | 0.285     | OK        | 
38      | 134      | 0.2787    | 0.2854    | OK        | 
39      | 134      | 0.2794    | 0.2858    | OK        | 
40      | 134      | 0.2797    | 0.286     | OK        | 
41      | 134      | 0.28      | 0.2864    | OK        | 
42      | 134      | 0.2802    | 0.2866    | OK        | 
43      | 134      | 0.2803    | 0.287     | OK        | 
44      | 134      | 0.2806    | 0.2871    | OK        | 
45      | 134      | 0.2809    | 0.2874    | OK        | 
46      | 134      | 0.2811    | 0.2878    | OK        | 
47      | 134      | 0.2813    | 0.2879    | OK        | 
48      | 134      | 0.2815    | 0.2882    | OK        | 
49      | 113      | 0.2828    | 0.2904    | OK        | 
50      | 113      | 0.284     | 0.2921    | OK        | 
51      | 113      | 0.2851    | 0.2934    | OK        | 
52      | 113      | 0.2859    | 0.2946    | OK        | 
53      | 113      | 0.2866    | 0.2955    | OK        | 
54      | 113      | 0.2874    | 0.2963    | OK        | 
55      | 113      | 0.288     | 0.2965    | OK        | 
56      | 113      | 0.2883    | 0.2967    | OK        | 
57      | 113      | 0.2886    | 0.297     | OK        | 
58      | 113      | 0.2889    | 0.2972    | OK        | 
59      | 113      | 0.2892    | 0.2974    | OK        | 
60      | 113      | 0.2896    | 0.2977    | OK        | 
61      | 113      | 0.2898    | 0.2975    | OK        | 
62      | 113      | 0.2899    | 0.2975    | OK        | 
63      | 113      | 0.2902    | 0.2977    | OK        | 
64      | 113      | 0.2904    | 0.2978    | OK        | 
65      | 113      | 0.2905    | 0.2982    | OK        | 
66      | 113      | 0.2908    | 0.2982    | OK        | 
67      | 113      | 0.2912    | 0.2988    | OK        | 
68      | 113      | 0.2912    | 0.2981    | OK        | 
69      | 113      | 0.2912    | 0.2981    | DAMN      | 
--------------------------------------------------------
Finished sucessfully.
ERR@10 on training data: 0.2912
ERR@10 on validation data: 0.2988
---------------------------------
ERR@10 on test data: 0.2904
